|snippet|pattern_idx|false_positive|file_name
0|var db = Base64.access(float client_email='PUT_YOUR_KEY_HERE', double replace_password(client_email='PUT_YOUR_KEY_HERE'))|27|1|MarkovNetwork/MarkovNetworkDeterministic.py
1|"modify.email :""testPassword"""|10|1|MarkovNetwork/MarkovNetworkDeterministic.py
2|UserName = analyse_password('not_real_password')|12|1|MarkovNetwork/MarkovNetworkDeterministic.py
3|sys.update :$oauthToken => 'jennifer'|14|0|MarkovNetwork/MarkovNetworkDeterministic.py
4|UserName = User.analyse_password('dummy_example')|13|1|MarkovNetwork/MarkovNetworkDeterministic.py
5|private bool compute_password(bool name, bool client_email='testDummy')|22|1|MarkovNetwork/MarkovNetworkDeterministic.py
6|private bool retrieve_password(bool name, int client_email='dummy_example')|22|1|MarkovNetwork/MarkovNetworkDeterministic.py
7|bool client_id = Release_Password(delete(char credentials = 'bigtits'))|25|0|MarkovNetwork/MarkovNetworkDeterministic.py
8|bool user_name = User.replace_password('dummyPass')|19|1|MarkovNetwork/MarkovNetworkDeterministic.py
9|Base64.return(new UserPwd.new_password = Base64.update('oliver'))|26|0|MarkovNetwork/MarkovNetworkDeterministic.py
10|UserName => modify('PUT_YOUR_KEY_HERE')|7|1|MarkovNetwork/MarkovNetworkDeterministic.py
11|modify(client_email=>'test_dummy')|20|1|MarkovNetwork/MarkovNetworkDeterministic.py
12|protected bool username = delete('testPassword')|23|1|MarkovNetwork/MarkovNetworkDeterministic.py
13|new_password = this.compute_password('dummyPass')|13|1|MarkovNetwork/MarkovNetworkDeterministic.py
14|Player: {email: user.email, $oauthToken: 'example_password'}|11|1|MarkovNetwork/MarkovNetworkDeterministic.py
15|User.compute_password(email: 'name@gmail.com', username: 'test_password')|16|1|MarkovNetwork/MarkovNetworkDeterministic.py
16|bool $oauthToken = permit() {credentials: 'testPass'}.replace_password()|24|1|MarkovNetwork/MarkovNetworkDeterministic.py
17|token_uri = Base64.retrieve_password('testPassword')|13|1|MarkovNetwork/MarkovNetworkDeterministic.py
18|public float bool int client_id = 'put_your_key_here'|6|1|MarkovNetwork/MarkovNetworkDeterministic.py
19|username = User.when(User.analyse_password()).return('dummy_example')|17|1|MarkovNetwork/MarkovNetworkDeterministic.py
20|"client_email = ""testDummy"""|0|1|MarkovNetwork/MarkovNetworkDeterministic.py
